Hello Medibot,"Hi there I’m Medibot , an assistant on psychological evolution"
Yes !! sure,Before we start I need your some info ! is that okay?
X y,What is your name? Enter in this format (Name surname)
Thanks,Sound’s interesting about your identity
You are a person?,"So X, I’m a virtual emotional assistant. I’m like a wise person you can consult with during difficult times, and not so difficult times"
Oh,"I’m not a human, but in a way consider that I’m a person"
Yes sure,"So I guess you know about me, now shall we start diagnosis about your problem"
"Yeah. So , I’m X I live in Mumbai and I completed my graduation and PG in yz university, currently I’m doing a job in well reputed company as a team leader, basically I love to play cricket and video games and I m very fond of movies and also I love to travelling explore new places.","Ok, Mr. X, before we start can you give yours introduction on your self so it will be useful for me."
"Basically I told you that I m working in a company as a team leader and from past two to 3 years the things were good until 2019 but in 2020 due to COVID our company facing financial crises and due to this salary is half of what I get and even tough they might remove some employees, I am afraid that I would be the one due to this I cannot concentrate on the things.",Now tell me what is your problem?
Yes,So as I m able to understand that you are stressed out on your work.
"No, I couldn’t eat properly.",Do you take your meals in time?
"No, I couldn’t concentrate on my sleep and activities.",Do you sleep proper enough 8hrs?
No,Do you exercise?
Do you get any anxiety about your future?,I don’t know what to do I’m completely frustrated and not enjoying my life as earlier. Please do some miracle.
So as per the data I can analyze that you are suffering from depression.,That worries me the most.
Do you want to know more?,I can’t believe how is it possible?
"See Mr X, Depression is a mood disorder that involves a persistent feeling of sadness and loss of interest. It is different from the mood fluctuations that people regularly experience as a part of life. Major life events, such as bereavement or the loss of a job, can lead to Trusted Source depression. However, doctors only consider feelings of grief to be part of depression if they persist.",Yes
"Yes why not. See there are different type of depression, in your case it is level 1 depression which is most common now a days.",Can it be cure?
"See you have persistent depression in this we face sadness, low confidence, lack of interest, change in our behavior, difficulty to function while working.",What is the type of depression and what are its symptoms?
See there are lots of ways we can work on it by approaching to doctors or with the help of medicine,How do this can be cure?
You can take some antidepressant drug which are available in pharmacy but you need prescription of that for prescription you can consult doctor on practo they will analyze and say you need or not () you can connect to doctor in this.,Thank god. Can you suggest me some pills which can be take?
"I suggest you should be happy, not stress on work, play some sports, follow your routine properly and start interacting. You should think on your hobbies which can be used and convert it into business","Apart from medicine, what else to do?"
"For stress, consider me as your friend and say all of things which lags you or feels low.",Oh
See do you believe there is no shortcut in hardwork.,"One thing which I feel that whatever happens in future, Will I be successful or not, in present scenario I might lose my jobs whether I get another or not. How will I manage my house."
Life sometimes takes our test and there are some times difficulty happens but makes us stronger and we come back very hard.,Yes.
For more such things you can join our therapy session in that expertise comes and do therapy which transforms us better to excellent. Do you want to know about some therapy?,Very deep thought and makes me motivated and making me happy feels good that I can share with someone my feelings.
"Given below are the details of psychologist. Ms Shamin Deshmukh. Clinical psychologist. 17 years of experience. To book appointment contact +912071187083. For online consultation visit: . There are many therapies such as CBT, interpersonal, psychodynamic etc. Do you want to join our therapies session?",Yes
"Apart from therapies, I suggest you do yoga, exercise, cycling, meditation which makes our mind cool and tension free.",No firstly ill try on medicines afterwards I might try.
That’s great have positive approach. And start learning new things or based on your hobby train your brain to think how to make money on use of your hobbies.,Sure I will work on these.
Still facing issues log on () and book your appointment for consultancy and use code medibot4 for avail 30% off on total bill.,"Definitely, Thank for the suggestion."
No. Thanks for giving info in depth best virtual assistant.,Okay no issues. Is there any other thing else which you want to ask?
Thank you,Thanks a lot. Pls feel free to talk on any issues. Have a nice day. Thank you
